year,per capita income (US$)
1970,3414.622294
1971,3758.307738
1972,4257.451046
1973,4839.689668
1974,5712.946183
1975,6148.625044
1976,7231.924597
1977,7288.631412
1978,7439.306745
1979,7922.762841
1980,8745.604821
1981,9752.938458
1982,9873.077907
1983,10706.57485
1984,11097.10982
1985,11332.25897
1986,11704.98716
1987,13252.82964
1988,15354.49805
1989,16740.82894
1990,17207.34317
1991,17586.4766
1992,16735.0911
1993,16170.20994
1994,16017.94416
1995,16619.92658
1996,17002.69984
1997,17542.88896
1998,16794.22927
1999,17868.20003
2000,19386.44541
2001,18986.18294
2002,19537.08101
2003,22686.55397
2004,26003.16465
2005,29229.89719
2006,33132.78863
2007,36533.91746
2008,37787.14704
2009,32986.0481
2010,38678.18059
2011,42617.97406
2012,43024.4508
2013,43054.54265
2014,41608.03615
2015,35364.11911
2016,34318.54492
2017,36906.31172
2018,37828.31686
2019,37785.72761
2020,34953.03636
2021,41986.23286
